id,name,parent_id
33258,Construction,33257
33487,"Boston-Cambridge-Newton, MA",33486
33654,"Haverhill-Newburyport-Amesbury Town, MA-NH",33486
33656,"Lawrence-Methuen Town-Salem, MA-NH",33486
33658,"Lowell-Billerica-Chelmsford, MA-NH",33486
33660,"Lynn-Saugus-Marblehead, MA",33486
33664,"Peabody-Salem-Beverly, MA",33486
33666,"Taunton-Middleborough-Norton, MA",33486
33641,"Haverhill-Newburyport-Amesbury Town, MA-NH",33638
33644,"Lawrence-Methuen Town-Salem, MA-NH",33638
33646,"Lowell-Billerica-Chelmsford, MA-NH",33638
